id;comment;date_comment;is_active;is_deleted;jhi_like;dislike;date_last_modification;assigned_to_id;deal_id
1;Industrial niches;2020-06-09;true;false;45470;88931;2020-06-09;1;1
2;synthesizing Personal Loan Account;2020-06-08;true;false;20822;61786;2020-06-08;2;2
3;wireless;2020-06-09;false;false;91776;23797;2020-06-09;3;3
4;overriding;2020-06-09;true;false;48704;18603;2020-06-08;4;4
5;Tasty Metal Bacon transparent Maryland;2020-06-08;true;true;90164;93876;2020-06-09;3;5
6;user-centric Georgia reinvent;2020-06-08;true;true;63025;94367;2020-06-08;2;6
7;protocol;2020-06-08;true;true;48927;78923;2020-06-09;2;7
8;Home Loan Account Louisiana;2020-06-08;false;true;88819;65748;2020-06-08;3;8
9;Principal Club;2020-06-08;true;false;90722;38098;2020-06-09;2;9
10;National Grocery enterprise;2020-06-08;true;false;70277;56029;2020-06-08;2;10
